cid,name,type,notnull,dflt_value,pk
0,id,INTEGER,0,,1
1,div,TEXT,0,,0
2,season,TEXT,0,,0
3,date,TEXT,0,,0
4,time,TEXT,0,,0
5,home_team,TEXT,0,,0
6,away_team,TEXT,0,,0
7,ft_home_goals,INTEGER,0,,0
8,ft_away_goals,INTEGER,0,,0
9,ft_result,TEXT,0,,0
10,ht_home_goals,INTEGER,0,,0
11,ht_away_goals,INTEGER,0,,0
12,ht_result,TEXT,0,,0
13,home_shots,INTEGER,0,,0
14,away_shots,INTEGER,0,,0
15,home_shots_target,INTEGER,0,,0
16,away_shots_target,INTEGER,0,,0
17,home_fouls,INTEGER,0,,0
18,away_fouls,INTEGER,0,,0
19,home_corners,INTEGER,0,,0
20,away_corners,INTEGER,0,,0
21,home_yellow,INTEGER,0,,0
22,away_yellow,INTEGER,0,,0
23,home_red,INTEGER,0,,0
24,away_red,INTEGER,0,,0
25,file_source,TEXT,0,,0
26,import_date,TEXT,0,CURRENT_TIMESTAMP,0
